round,k,threshold,f1,precision,recall
1,1,0.992992992992993,0.9648688767936665,0.9549461312438785,0.975
1,3,0.993993993993994,0.945284002084419,0.9869423286180631,0.907
1,5,0.996996996996997,0.9823499747856783,0.9908443540183113,0.974
1,10,0.996996996996997,0.9367088607594937,0.9910714285714286,0.888
2,1,0.993993993993994,0.962925342813611,0.978328173374613,0.948
2,3,0.996996996996997,0.9641025641025641,0.9894736842105263,0.94
2,5,0.996996996996997,0.9168900804289544,0.9884393063583815,0.855
2,10,0.996996996996997,0.8768802228412256,0.989937106918239,0.787
3,1,0.995995995995996,0.9831683168316832,0.9735294117647059,0.993
3,3,0.996996996996997,0.9586776859504132,0.9914529914529915,0.928
3,5,0.996996996996997,0.9132075471698113,0.9906432748538012,0.847
3,10,0.996996996996997,0.888030888030888,0.990159901599016,0.805
4,1,0.995995995995996,0.9875683739433118,0.9821958456973294,0.993
4,3,0.996996996996997,0.9149623250807319,0.9906759906759907,0.85
4,5,0.996996996996997,0.9073170731707317,0.9905325443786982,0.837
4,10,0.996996996996997,0.8686868686868687,0.989769820971867,0.774
5,1,0.995995995995996,0.9855505729945192,0.9821251241310824,0.989
5,3,0.996996996996997,0.9120345385860766,0.9906213364595545,0.845
5,5,0.996996996996997,0.9067245119305857,0.990521327014218,0.836
5,10,1.0,0.8760836308006119,0.8938605619146722,0.859
6,1,0.995995995995996,0.9835739173718268,0.979187314172448,0.988
6,3,0.996996996996997,0.9149623250807319,0.9906759906759907,0.85
6,5,0.996996996996997,0.900163666121113,0.9903961584633854,0.825
6,10,1.0,0.8957247132429614,0.9357298474945533,0.859
7,1,0.995995995995996,0.9785322016974538,0.9770687936191426,0.98
7,3,0.996996996996997,0.9483568075117371,0.9912758996728462,0.909
7,5,0.996996996996997,0.8898678414096917,0.9901960784313726,0.808
7,10,0.996996996996997,0.8273045507584598,0.9929971988795518,0.709
8,1,0.995995995995996,0.978978978978979,0.9799599198396793,0.978
8,3,0.996996996996997,0.9538142189932538,0.9913700107874865,0.919
8,5,0.996996996996997,0.8849557522123894,0.9900990099009901,0.8
8,10,1.0,0.7714437932871604,0.8255416191562144,0.724
9,1,0.995995995995996,0.9805097451274363,0.98001998001998,0.981
9,3,0.996996996996997,0.9079089924160346,0.9905437352245863,0.838
9,5,0.996996996996997,0.8683914510686164,0.9922879177377892,0.772
9,10,1.0,0.8592830390583199,0.9240506329113924,0.803
10,1,0.995995995995996,0.9667003027245207,0.9755600814663951,0.958
10,3,0.996996996996997,0.9013623978201635,0.9904191616766467,0.827
10,5,0.996996996996997,0.8545350827153452,0.9946879150066401,0.749
10,10,1.0,0.8034934497816594,0.8846153846153846,0.736
11,1,0.995995995995996,0.9724034119417962,0.9758308157099698,0.969
11,3,0.996996996996997,0.9472584856396867,0.9912568306010929,0.907
11,5,0.996996996996997,0.8766052484645449,0.9924146649810367,0.785
11,10,1.0,0.8261758691206544,0.8451882845188284,0.808
12,1,0.995995995995996,0.9764411027568922,0.978894472361809,0.974
12,3,0.996996996996997,0.9019607843137255,0.9904306220095693,0.828
12,5,0.996996996996997,0.8701517706576728,0.993581514762516,0.774
12,10,1.0,0.8647497337593184,0.9248291571753986,0.812
13,1,0.995995995995996,0.977977977977978,0.9789579158316634,0.977
13,3,0.996996996996997,0.9031556039173014,0.9904534606205251,0.83
13,5,0.996996996996997,0.8402777777777778,0.9972527472527473,0.726
13,10,1.0,0.7877813504823151,0.848729792147806,0.735
14,1,0.995995995995996,0.9769307923771314,0.9798792756539235,0.974
14,3,0.996996996996997,0.8904788112272978,0.9902080783353733,0.809
14,5,0.996996996996997,0.849942726231386,0.9946380697050938,0.742
14,10,1.0,0.8289322617680827,0.9730458221024259,0.722
15,1,0.995995995995996,0.9748743718592965,0.9797979797979798,0.97
15,3,0.996996996996997,0.8903581267217631,0.9914110429447853,0.808
15,5,0.996996996996997,0.8487636572742956,0.9986468200270636,0.738
15,10,1.0,0.8346456692913385,0.9537275064267352,0.742
16,1,0.995995995995996,0.9759277833500501,0.9788732394366197,0.973
16,3,0.996996996996997,0.8947368421052632,0.9902912621359223,0.816
16,5,0.996996996996997,0.8595793064241046,0.9960474308300395,0.756
16,10,1.0,0.810126582278481,0.8571428571428571,0.768
17,1,0.995995995995996,0.9697275479313825,0.9786150712830958,0.961
17,3,0.996996996996997,0.900163666121113,0.9903961584633854,0.825
17,5,0.996996996996997,0.7954271961492179,0.9984894259818731,0.661
17,10,1.0,0.7947019867549668,0.9984871406959153,0.66
18,1,0.995995995995996,0.9779338014042126,0.9808853118712274,0.975
18,3,0.996996996996997,0.9355860612460402,0.9910514541387024,0.886
18,5,0.997997997997998,0.858397365532382,0.9513381995133819,0.782
18,10,1.0,0.8547008547008547,0.9933774834437086,0.75
19,1,0.993993993993994,0.9645972293483838,0.9905163329820864,0.94
19,3,0.996996996996997,0.922418405564473,0.9919447640966629,0.862
19,5,0.996996996996997,0.8340128130460105,0.99860529986053,0.716
19,10,1.0,0.8021276595744681,0.8568181818181818,0.754
20,1,0.995995995995996,0.9758793969849247,0.9808080808080808,0.971
20,3,0.996996996996997,0.920515574650913,0.994199535962877,0.857
20,5,0.996996996996997,0.8414351851851852,0.9986263736263736,0.727
20,10,1.0,0.8086910439851617,0.8602029312288614,0.763
21,1,0.995995995995996,0.9686234817813765,0.9805327868852459,0.957
21,3,0.996996996996997,0.8908489525909592,0.9926289926289926,0.808
21,5,0.997997997997998,0.8565145684442002,0.9511599511599511,0.779
21,10,1.0,0.8443708609271523,0.9421182266009852,0.765
22,1,0.995995995995996,0.972809667673716,0.9797160243407708,0.966
22,3,0.996996996996997,0.9389473684210526,0.9911111111111112,0.892
22,5,0.996996996996997,0.848937392303274,0.9973009446693657,0.739
22,10,1.0,0.8046462513199577,0.8523489932885906,0.762
23,1,0.993993993993994,0.9641025641025641,0.9894736842105263,0.94
23,3,0.996996996996997,0.8902371759514617,0.992619926199262,0.807
23,5,0.996996996996997,0.8456221198156681,0.9972826086956522,0.734
23,10,1.0,0.7925211097708083,0.9984802431610942,0.657
24,1,0.993993993993994,0.9640657084188912,0.990506329113924,0.939
24,3,0.996996996996997,0.878619153674833,0.9912060301507538,0.789
24,5,0.997997997997998,0.8317909635274905,0.9127837514934289,0.764
24,10,1.0,0.8531232414181205,0.9755469755469756,0.758
25,1,0.993993993993994,0.9645972293483838,0.9905163329820864,0.94
25,3,0.996996996996997,0.8909691629955947,0.991421568627451,0.809
25,5,0.996996996996997,0.8427745664739884,0.9986301369863013,0.729
25,10,1.0,0.8201202843083653,0.9047044632086851,0.75
26,1,0.995995995995996,0.9660071029934043,0.98043254376931,0.952
26,3,0.996996996996997,0.8818283166109253,0.9962216624685138,0.791
26,5,0.996996996996997,0.830607476635514,0.9985955056179775,0.711
26,10,1.0,0.8315098468271335,0.9178743961352657,0.76
27,1,0.995995995995996,0.9660071029934043,0.98043254376931,0.952
27,3,0.996996996996997,0.8943894389438944,0.9938875305623472,0.813
27,5,0.996996996996997,0.8362369337979094,0.997229916897507,0.72
27,10,1.0,0.8465845464725644,0.9618320610687023,0.756
28,1,0.995995995995996,0.9656912209889001,0.9745417515274949,0.957
28,3,0.996996996996997,0.8914600550964187,0.992638036809816,0.809
28,5,0.997997997997998,0.8449138410227904,0.951188986232791,0.76
28,10,1.0,0.829295154185022,0.9227941176470589,0.753
29,1,0.993993993993994,0.9640657084188912,0.990506329113924,0.939
29,3,0.996996996996997,0.8827126181211784,0.9937421777221527,0.794
29,5,0.996996996996997,0.8409485251590515,0.9972565157750343,0.727
29,10,1.0,0.8293228875209849,0.9415501905972046,0.741
30,1,0.995995995995996,0.9712266532054518,0.9806320081549439,0.962
30,3,0.996996996996997,0.8924434638720353,0.995079950799508,0.809
30,5,0.997997997997998,0.8373392956959195,0.9493029150823827,0.749
