round,k,threshold,f1,precision,recall
1,1,0.988988988988989,0.9060773480662984,0.9101917255297679,0.902
1,3,0.995995995995996,0.922762148337596,0.9445026178010472,0.902
1,5,0.996996996996997,0.9092711948438275,0.9016715830875123,0.917
1,10,1.0,0.8802281368821293,0.8387681159420289,0.926
2,1,0.97997997997998,0.8764289602612956,0.961768219832736,0.805
2,3,0.990990990990991,0.895800933125972,0.930032292787944,0.864
2,5,0.995995995995996,0.9055155875299761,0.8700460829493087,0.944
2,10,0.996996996996997,0.8829015544041451,0.9161290322580645,0.852
3,1,0.98998998998999,0.9208353569694027,0.8951841359773371,0.948
3,3,0.995995995995996,0.9325899645210339,0.9455292908530318,0.92
3,5,0.995995995995996,0.9251419721218379,0.9562433297758804,0.896
3,10,0.997997997997998,0.8855116514690983,0.8973305954825462,0.874
4,1,0.9879879879879879,0.9213836477987422,0.9680616740088106,0.879
4,3,0.995995995995996,0.9644466700050075,0.9658976930792377,0.963
4,5,0.995995995995996,0.955193482688391,0.9730290456431535,0.938
4,10,0.996996996996997,0.9229984701682815,0.9417273673257024,0.905
5,1,0.9879879879879879,0.9553299492385787,0.9701030927835051,0.941
5,3,0.993993993993994,0.9466044582685329,0.9827771797631862,0.913
5,5,0.995995995995996,0.9512570548999487,0.9768177028451,0.927
5,10,0.996996996996997,0.9083376488865873,0.9419978517722879,0.877
6,1,0.9879879879879879,0.9551478083588175,0.974012474012474,0.937
6,3,0.993993993993994,0.9504132231404959,0.9829059829059829,0.92
6,5,0.996996996996997,0.9717741935483871,0.9796747967479674,0.964
6,10,0.996996996996997,0.9500520291363164,0.9902386117136659,0.913
7,1,0.990990990990991,0.9588377723970944,0.9295774647887324,0.99
7,3,0.996996996996997,0.974025974025974,0.9730538922155688,0.975
7,5,0.996996996996997,0.9678078691875319,0.9895506792058516,0.947
7,10,0.996996996996997,0.9230769230769231,0.9908256880733946,0.864
8,1,0.985985985985986,0.9456066945606695,0.9912280701754386,0.904
8,3,0.996996996996997,0.9607160616608652,0.9554896142433235,0.966
8,5,0.996996996996997,0.9643584521384929,0.9823651452282157,0.947
8,10,0.996996996996997,0.9389473684210526,0.9911111111111112,0.892
9,1,0.990990990990991,0.968421052631579,0.9708542713567839,0.966
9,3,0.996996996996997,0.9708835341365462,0.9747983870967742,0.967
9,5,0.996996996996997,0.9682702149437052,0.9916142557651991,0.946
9,10,0.996996996996997,0.9258666666666666,0.992,0.868
10,1,0.992992992992993,0.985679012345679,0.9736585365853658,0.998
10,3,0.995995995995996,0.9730554143365532,0.9896587383660806,0.957
10,5,0.996996996996997,0.9218500797448166,0.9841089670828603,0.867
10,10,0.996996996996997,0.8869277440706013,0.988929889298893,0.804
11,1,0.992992992992993,0.9754661432777233,0.9576107899807321,0.994
11,3,0.996996996996997,0.9605985037406484,0.9582089552238806,0.963
11,5,0.996996996996997,0.9140416444207154,0.9805269186712485,0.856
11,10,0.996996996996997,0.875,0.98989898989899,0.784
12,1,0.992992992992993,0.9736070381231672,0.9521988527724665,0.996
12,3,0.995995995995996,0.9615581752947207,0.9863301787592008,0.938
12,5,0.996996996996997,0.9115281501340483,0.9826589595375722,0.85
12,10,0.996996996996997,0.8793774319066148,0.9899874843554443,0.791
13,1,0.992992992992993,0.9720725134737873,0.9529298751200769,0.992
13,3,0.995995995995996,0.9599589322381931,0.9862869198312236,0.935
13,5,0.996996996996997,0.9143468950749465,0.9838709677419355,0.854
13,10,0.996996996996997,0.8603730921424534,0.9895968790637191,0.761
14,1,0.990990990990991,0.9752650176678446,0.9847094801223242,0.966
14,3,0.996996996996997,0.962037962037962,0.9610778443113772,0.963
14,5,0.996996996996997,0.9213602550478215,0.9829931972789115,0.867
14,10,0.996996996996997,0.8691746209994385,0.9910371318822023,0.774
15,1,0.990990990990991,0.9727547931382442,0.9816700610997964,0.964
15,3,0.995995995995996,0.9579055441478439,0.9841772151898734,0.933
15,5,0.996996996996997,0.9196381053751995,0.9829351535836177,0.864
15,10,0.996996996996997,0.8623024830699775,0.9896373056994818,0.764
16,1,0.990990990990991,0.9722081859525012,0.982635342185904,0.962
16,3,0.996996996996997,0.9643584521384929,0.9823651452282157,0.947
16,5,0.996996996996997,0.9141630901287554,0.9861111111111112,0.852
16,10,0.996996996996997,0.8787541713014461,0.9899749373433584,0.79
17,1,0.990990990990991,0.974974974974975,0.9759519038076152,0.974
17,3,0.995995995995996,0.9573703133025167,0.9841605068637803,0.932
17,5,0.996996996996997,0.9222577209797657,0.9863325740318907,0.866
17,10,0.996996996996997,0.8761160714285714,0.9911616161616161,0.785
18,1,0.990990990990991,0.9684959349593496,0.984504132231405,0.953
18,3,0.995995995995996,0.9703779366700716,0.9916492693110647,0.95
18,5,0.996996996996997,0.9211927582534611,0.9851936218678815,0.865
18,10,0.998998998998999,0.8874437218609305,0.8878878878878879,0.887
19,1,0.9879879879879879,0.9549180327868853,0.9789915966386554,0.932
19,3,0.996996996996997,0.9717741935483871,0.9796747967479674,0.964
19,5,0.996996996996997,0.9222577209797657,0.9863325740318907,0.866
19,10,0.998998998998999,0.9123173277661796,0.9541484716157205,0.874
20,1,0.990990990990991,0.9644670050761421,0.979381443298969,0.95
20,3,0.996996996996997,0.9695431472081218,0.9845360824742269,0.955
20,5,0.996996996996997,0.9163090128755365,0.9884259259259259,0.854
20,10,0.996996996996997,0.8705882352941177,0.9898089171974522,0.777
21,1,0.990990990990991,0.9717171717171718,0.9816326530612245,0.962
21,3,0.996996996996997,0.9697275479313825,0.9786150712830958,0.961
21,5,0.996996996996997,0.9210245464247598,0.9874141876430206,0.863
21,10,0.996996996996997,0.8517673888255416,0.9907161803713528,0.747
22,1,0.9879879879879879,0.9436325678496869,0.9868995633187773,0.904
22,3,0.996996996996997,0.9650924024640657,0.9915611814345991,0.94
22,5,0.996996996996997,0.9172932330827067,0.9907192575406032,0.854
22,10,0.996996996996997,0.8577903682719547,0.9895424836601308,0.757
23,1,0.990990990990991,0.9686868686868687,0.9785714285714285,0.959
23,3,0.996996996996997,0.9665991902834008,0.9784836065573771,0.955
23,5,0.996996996996997,0.9179978700745474,0.9817767653758542,0.862
23,10,0.998998998998999,0.907764460656592,0.9477693144722524,0.871
24,1,0.990990990990991,0.9763700351935646,0.9817997977755308,0.971
24,3,0.996996996996997,0.9343142406726221,0.9844961240310077,0.889
24,5,0.996996996996997,0.9249600851516764,0.9886234357224118,0.869
24,10,0.996996996996997,0.875,0.98989898989899,0.784
25,1,0.990990990990991,0.9679389312977099,0.9854922279792746,0.951
25,3,0.996996996996997,0.9308176100628931,0.9779735682819384,0.888
25,5,0.996996996996997,0.9242183359830418,0.9830890642615558,0.872
25,10,0.996996996996997,0.8603730921424534,0.9895968790637191,0.761
26,1,0.993993993993994,0.9851190476190477,0.9773622047244095,0.993
26,3,0.996996996996997,0.9675785207700102,0.9804928131416838,0.955
26,5,0.996996996996997,0.9182255478353821,0.9862227324913893,0.859
26,10,0.996996996996997,0.8693213684800898,0.9897828863346104,0.775
27,1,0.992992992992993,0.9841584158415841,0.9745098039215686,0.994
27,3,0.996996996996997,0.9336121275483533,0.9780941949616648,0.893
27,5,0.996996996996997,0.9222577209797657,0.9863325740318907,0.866
27,10,0.996996996996997,0.8775055679287305,0.9899497487437185,0.788
28,1,0.990990990990991,0.9742033383915023,0.9856704196519959,0.963
28,3,0.996996996996997,0.9722642460917801,0.9806714140386572,0.964
28,5,0.996996996996997,0.9196381053751995,0.9829351535836177,0.864
28,10,0.997997997997998,0.8561113976276431,0.8839190628328009,0.83
29,1,0.993993993993994,0.9871031746031746,0.9793307086614174,0.995
29,3,0.996996996996997,0.929769392033543,0.9768722466960352,0.887
29,5,0.996996996996997,0.9213602550478215,0.9829931972789115,0.867
29,10,0.996996996996997,0.8558456299659478,0.989501312335958,0.754
30,1,0.992992992992993,0.9730259931338892,0.9547641963426372,0.992
30,3,0.996996996996997,0.9671219018715225,0.9785056294779939,0.956
30,5,0.996996996996997,0.9206349206349206,0.9775280898876404,0.87
30,10,0.998998998998999,0.8804020100502512,0.8848484848484849,0.876
31,1,0.9879879879879879,0.94258872651357,0.9858078602620087,0.903
31,3,0.996996996996997,0.9660759493670886,0.9784615384615385,0.954
31,5,0.996996996996997,0.9236479321314952,0.9830699774266366,0.871
31,10,0.997997997997998,0.8677469942498693,0.9090909090909091,0.83
32,1,0.9879879879879879,0.94375,0.9847826086956522,0.906
32,3,0.996996996996997,0.9263932702418507,0.9767184035476718,0.881
32,5,0.996996996996997,0.9178590355060944,0.9763246899661782,0.866
32,10,0.996996996996997,0.8733965421081985,0.987389659520807,0.783
33,1,0.993993993993994,0.9786600496277915,0.9714285714285714,0.986
33,3,0.996996996996997,0.9224274406332453,0.976536312849162,0.874
33,5,0.996996996996997,0.9126730564430245,0.9760820045558086,0.857
33,10,0.996996996996997,0.8590831918505942,0.9895697522816167,0.759
34,1,0.992992992992993,0.9821073558648111,0.9762845849802372,0.988
34,3,0.996996996996997,0.9235635213494993,0.9765886287625418,0.876
34,5,0.996996996996997,0.9148029818956337,0.9783599088838268,0.859
34,10,0.997997997997998,0.8607594936708861,0.9107142857142857,0.816
35,1,0.993993993993994,0.9844922461230615,0.984984984984985,0.984
35,3,0.996996996996997,0.9263932702418507,0.9767184035476718,0.881
35,5,0.996996996996997,0.9172852598091198,0.9762979683972912,0.865
35,10,0.996996996996997,0.8661417322834646,0.9897172236503856,0.77
36,1,0.992992992992993,0.9836228287841191,0.9763546798029556,0.991
36,3,0.996996996996997,0.9258285113098369,0.97669256381798,0.88
36,5,0.996996996996997,0.9155602761550717,0.9762174405436014,0.862
36,10,0.997997997997998,0.8675078864353313,0.9146341463414634,0.825
37,1,0.993993993993994,0.980431510286001,0.9838872104733132,0.977
37,3,0.996996996996997,0.9263932702418507,0.9767184035476718,0.881
37,5,0.996996996996997,0.916710875331565,0.976271186440678,0.864
37,10,0.997997997997998,0.8527131782945736,0.8823529411764706,0.825
38,1,0.992992992992993,0.9821073558648111,0.9762845849802372,0.988
38,3,0.996996996996997,0.9634517766497462,0.9783505154639175,0.949
38,5,0.996996996996997,0.9160467587672688,0.9773242630385488,0.862
38,10,0.996996996996997,0.8486579097658481,0.9893475366178429,0.743
39,1,0.993993993993994,0.9819458375125376,0.9849094567404426,0.979
39,3,0.996996996996997,0.9660759493670886,0.9784615384615385,0.954
39,5,0.996996996996997,0.916135881104034,0.9762443438914027,0.863
39,10,0.996996996996997,0.8584371460928653,0.9895561357702349,0.758
40,1,0.993993993993994,0.986,0.986,0.986
40,3,0.996996996996997,0.9665991902834008,0.9784836065573771,0.955
40,5,0.996996996996997,0.9178590355060944,0.9763246899661782,0.866
40,10,0.996996996996997,0.8623024830699775,0.9896373056994818,0.764
41,1,0.993993993993994,0.9824385348720521,0.9859013091641491,0.979
41,3,0.996996996996997,0.9650278763304613,0.9784172661870504,0.952
41,5,0.996996996996997,0.916710875331565,0.976271186440678,0.864
41,10,0.996996996996997,0.8603730921424534,0.9895968790637191,0.761
42,1,0.993993993993994,0.986,0.986,0.986
42,3,0.996996996996997,0.9645030425963489,0.9783950617283951,0.951
42,5,0.996996996996997,0.916710875331565,0.976271186440678,0.864
42,10,0.996996996996997,0.8597285067873304,0.9895833333333334,0.76
43,1,0.993993993993994,0.9819458375125376,0.9849094567404426,0.979
43,3,0.996996996996997,0.9650278763304613,0.9784172661870504,0.952
43,5,0.996996996996997,0.916710875331565,0.976271186440678,0.864
43,10,0.996996996996997,0.845360824742268,0.9892761394101877,0.738
